"Country.Name","NY.GDP.PCAP.CD.YR2013","NY.GDP.PCAP.CD.YR2014","NY.GDP.PCAP.CD.YR2015","NY.GDP.PCAP.CD.YR2016","NY.GDP.PCAP.CD.YR2017","NY.GDP.PCAP.CD.YR2018","NY.GDP.PCAP.CD.YR2019","NY.GDP.PCAP.CD.YR2020","NY.GDP.PCAP.CD.YR2021","NY.GDP.PCAP.CD.YR2022","IT.NET.USER.ZS.YR2013","IT.NET.USER.ZS.YR2014","IT.NET.USER.ZS.YR2015","IT.NET.USER.ZS.YR2016","IT.NET.USER.ZS.YR2017","IT.NET.USER.ZS.YR2018","IT.NET.USER.ZS.YR2019","IT.NET.USER.ZS.YR2020","IT.NET.USER.ZS.YR2021","IT.NET.USER.ZS.YR2022","IT.CEL.SETS.P2.YR2013","IT.CEL.SETS.P2.YR2014","IT.CEL.SETS.P2.YR2015","IT.CEL.SETS.P2.YR2016","IT.CEL.SETS.P2.YR2017","IT.CEL.SETS.P2.YR2018","IT.CEL.SETS.P2.YR2019","IT.CEL.SETS.P2.YR2020","IT.CEL.SETS.P2.YR2021","IT.CEL.SETS.P2.YR2022","SL.TLF.ADVN.ZS.YR2013","SL.TLF.ADVN.ZS.YR2014","SL.TLF.ADVN.ZS.YR2015","SL.TLF.ADVN.ZS.YR2016","SL.TLF.ADVN.ZS.YR2017","SL.TLF.ADVN.ZS.YR2018","SL.TLF.ADVN.ZS.YR2019","SL.TLF.ADVN.ZS.YR2020","SL.TLF.ADVN.ZS.YR2021","SL.TLF.ADVN.ZS.YR2022","PV.PER.RNK.YR2013","PV.PER.RNK.YR2014","PV.PER.RNK.YR2015","PV.PER.RNK.YR2016","PV.PER.RNK.YR2017","PV.PER.RNK.YR2018","PV.PER.RNK.YR2019","PV.PER.RNK.YR2020","PV.PER.RNK.YR2021","PV.PER.RNK.YR2022",".YR2013",".YR2014",".YR2015",".YR2016",".YR2017",".YR2018",".YR2019",".YR2020",".YR2021",".YR2022"
"Indonesia",3602.88551680629,3476.62485432866,3322.58167907656,3558.81885174287,3839.78507463674,3902.66167542693,4151.22755454135,3895.61815205095,4334.21598260314,4787.99930765134,14.94,17.14,22.0627426,25.4473537,32.33580625,39.90463864,47.69064898,53.72649449,62.10447842,66.48461277,123.6702315,127.0667453,130.8216306,147.24962,164.5351584,119.6084851,126.5946679,130.8110952,133.6505363,114.9005566,86.61,86.41,85.62,85.59,84.87,81.86,84.08,82.26,80.48,80.44,28.4360198974609,30,24.761905670166,32.3809509277344,29.0476188659668,26.8867931365967,27.3584899902344,30.1886787414551,27.8301887512207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iran, Islamic Rep.",6280.68186752661,5757.54333261849,4990.93679537694,5497.24323256491,5758.59072767048,3829.82985506938,3276.75326508099,2746.41948317956,4084.20030479458,4387.82571517872,29.95,39.35,45.33497615,53.22677167,64.04397362,70.200565,72.45090477,75.56986637,78.5957366,NA,83.15971256,86.15521571,90.74220792,96.65573395,103.0079578,103.6264522,136.3859613,146.2076628,154.5542763,164.5020873,40.05,39.5,41.58,43.48,NA,57.55,56.87,52.61,52.52,NA,11.3744077682495,17.1428565979004,17.619047164917,17.619047164917,14.7619047164917,9.90566062927246,5.66037750244141,6.60377359390259,7.54716968536377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iraq",6612.90225210234,6215.98603314029,4416.94292281917,4305.20270154631,4725.19357334032,5601.46706102705,5621.18169491752,4251.33725272808,4770.83534274738,5937.19546600271,9.2,13.21,15.2,19.9,26,33.9,44.32634655,45.7863696,48.91718718,78.71561135,91.45533767,89.8045005,88.87962046,86.43095061,84.33798585,89.9894631,89.56113197,88.05916556,93.60441472,98.18424176,NA,NA,NA,NA,NA,NA,NA,NA,74.71,NA,4.26540279388428,2.38095235824585,2.85714292526245,3.33333325386047,2.85714292526245,1.41509437561035,1.41509437561035,1.88679242134094,1.88679242134094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",51546.3547634549,55643.0594338739,62053.9844381587,62895.9111239299,69970.9489145768,79250.387851767,80927.0746710651,85420.1908556082,100172.079253421,104038.946076296,78.2477,83.49172234,83.49479167,83.5,84.11400706,87.00014011,87.00005524,91.99989097,95.16956667,NA,106.3624033,106.283914,105.0634623,103.3786082,102.6618166,102.8335051,105.3980591,105.8205231,107.7677124,113.2768198,81.53,80.53,80.93,80.82,81.11,81.31,81.15,80.61,81.87,82.55,75.3554534912109,87.1428604125977,77.6190490722656,74.2857131958008,85.2380981445313,86.3207550048828,82.0754699707031,82.0754699707031,75.4716949462891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isle of Man",83204.7471690551,91881.1283613609,84753.4567280589,82041.6210499781,83510.3037459928,89425.8913886018,87152.4530174045,79530.6054842568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Israel",36941.8423573582,38259.6810956173,36206.5222171621,37690.4739511859,41114.7817082553,42406.8454263606,44452.2325623093,44846.7915954816,52166.8121647134,54659.753964319,70.25031195,75.01775316,77.35208966,79.65312418,81.58118359,83.73315696,86.78787762,90.12734091,90.29689758,NA,122.9506712,120.806028,131.9966662,129.5500471,126.8464798,126.5301426,135.9213376,140.1086384,140.4485071,152.2222464,81.41,82.17,82.11,82.29,81.26,81.55,81.4,80.17,80,NA,15.1658763885498,12.8571424484253,11.4285717010498,19.0476188659668,16.6666660308838,15.0943393707275,19.3396224975586,17.4528293609619,13.6792449951172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy",35560.0814062291,35565.7213771491,30242.3861352184,30960.7315088911,32406.7203150137,34622.1696664735,33673.7509627414,31918.6934933773,35770.0496120858,34157.990122464,58.4593,55.63846022,58.14173496,61.32425277,63.077347,74.38718292,67.85071029,70.48342785,74.8623274,85.06074504,160.6017791,149.0557814,145.5869288,142.9771615,139.776512,139.1884938,133.0713342,130.3870472,131.86107,132.971226,74.64,74.62,74.51,75.08,75.07,74.91,74.76,73.66,75.37,75.55,63.9810409545898,60.476188659668,58.5714302062988,59.0476188659668,57.6190490722656,57.0754699707031,59.4339637756348,59.4339637756348,64.1509399414063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jamaica",5143.72217220643,4991.56426734718,5077.55163565712,5022.70332766053,5273.14892328505,5594.49310704577,5626.17040261069,4897.26477019956,5183.58110028848,6047.21646430936,37.1,40.4027351,42.22122119,44.36685637,55.07206705,68.21451709,70.84101697,79.43244028,82.36071561,NA,102.6348215,107.934767,112.2660894,116.5786502,110.0715146,105.44623,107.4668426,101.8728665,102.7483172,106.2021796,76.5,77.05,NA,76.21,76.02,74.92,75.75,77.28,73.09,NA,54.502368927002,46.6666679382324,50.9523811340332,57.1428565979004,58.0952377319336,61.3207550048828,58.9622650146484,55.6603775024414,53.7735862731934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Japan",40898.6478964744,38475.3952461838,34960.6393843385,39375.4731620781,38834.0529341227,39751.1330982711,40415.9567649547,39986.9286287091,39827.1267678179,33815.3172733799,88.21942891,89.10683302,91.05802839,93.18272128,91.72654724,88.74635089,92.73039781,90.21945812,82.91407928,NA,115.827725,123.8316866,126.1756831,131.3864746,136.4176676,142.4668807,148.2722187,155.7389638,160.8817412,167.5231573,77.51,NA,77.56,77.72,78.1,78.33,79.09,78.63,NA,NA,82.9383850097656,80,89.0476226806641,82.3809509277344,88.5714263916016,88.2075500488281,84.4339599609375,88.2075500488281,86.3207550048828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan",4477.61832070861,4255.89430213385,4064.25301043642,4003.40474641177,4073.11640314668,4146.40731063215,4159.67140765344,3987.65017399411,4046.93146710672,4204.50563967692,41.4,46.2,54.22,56.15,64.5,65.2,70.08467395,75.44769493,85.999997,NA,134.0380157,128.1170096,145.3297924,98.53271402,94.98702055,83.47869848,72.70773421,63.94061117,65.26176509,67.56799743,NA,NA,NA,NA,65.24,61.73,58.93,59.04,61.72,NA,26.0663509368896,27.619047164917,25.7142848968506,27.1428565979004,30,32.0754699707031,37.2641525268555,36.7924537658691,36.7924537658691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kazakhstan",13890.6339998972,12807.263069029,10510.7703082872,7714.84184376024,9247.58068659796,9812.62542188505,9812.59553636276,9121.63640167864,10373.7897924367,11243.6712256386,63.30422443,66,70.8299336,74.58772647,76.42674823,78.90391906,81.87762047,85.94259898,90.9239507,92.29685266,175.0568958,162.5461324,147.5074806,141.2436051,145.7470439,140.6055713,137.1299254,128.0024709,127.4765953,130.4206754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5971565246582,47.6190490722656,43.8095245361328,47.6190490722656,46.6666679382324,44.8113212585449,41.0377349853516,38.6792449951172,37.7358474731445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenya",1376.8292062766,1489.9197238099,1496.65356762256,1562.07661095478,1675.98842952557,1845.78341285836,1970.0800629654,1936.25075166045,2069.66113651418,2099.30193826696,13,16.5,16.58785485,16.6,17.82710021,19.5,22.66877336,25.53293999,28.75752799,NA,71.06121963,73.38263833,80.50105901,81.39149513,87.47035459,99.09540718,107.0734925,118.1263492,122.7902388,121.6735548,NA,NA,NA,69.14,NA,NA,86.19,NA,67.62,NA,13.7440757751465,9.0476188659668,9.5238094329834,10,11.9047622680664,11.7924528121948,12.7358493804932,14.6226415634155,13.2075471878052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kiribati",1628.64244178521,1546.88135922715,1459.14369528831,1506.23102993198,1566.44704429709,1607.22964956271,1410.01508996396,1403.99373815921,1766.14394497188,1701.97012305233,11.5,12.25,14.9,19.41939784,25.30959816,32.9863863,42.99166167,45.14804292,53.6270365,NA,17.65053702,26.09035961,35.13071195,43.87704302,38.32023396,43.62598354,43.99352871,43.22257718,40.83989013,48.82650573,NA,NA,82.66,NA,NA,NA,80.62,83.63,NA,NA,93.8388595581055,73.8095245361328,72.8571395874023,75.2380981445313,78.5714263916016,86.7924499511719,91.0377349853516,89.6226425170898,93.8679275512695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korea, Dem. People's Rep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.679295734,11.14377697,12.82761135,14.20265951,14.93161965,NA,16.51301564,23.19515861,23.10188288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8056869506836,10.4761905670166,10.9523811340332,21.9047622680664,28.0952377319336,33.9622650146484,34.9056587219238,33.4905662536621,30.1886787414551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korea, Rep.",27182.7343101936,29249.5752209742,28732.2310762599,29288.8704389833,31616.8434004683,33436.9230646064,31902.4169048194,31721.2980183057,34997.7816427848,32254.6247153456,84.77,87.55682649,89.8962558,92.84302568,95.06942188,96.02285958,96.15757918,96.50506052,97.57132662,97.16855413,109.1472515,113.3160079,115.5716703,119.46123,123.581176,128.4051056,132.9873505,136.0094467,140.5658819,148.5880603,70.52,71.27,71.94,72.11,72.3,72.24,72.3,71.36,72.18,73.53,57.3459701538086,50.476188659668,53.8095245361328,52.3809509277344,60,65.5660400390625,63.6792449951172,64.6226425170898,67.4528274536133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kosovo",3704.56219927088,3902.52981984215,3520.78042080341,3759.47103972559,4009.35603807673,4384.19040401626,4416.03132183173,4310.93298389393,5269.78390114389,5351.43954231081,NA,NA,NA,NA,83.89359681,89.44303197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.02,70.22,63.19,65.13,71.55,79.96,77.02,71.36,70.66,NA,18.0094795227051,31.4285717010498,40.476188659668,35.7142868041992,37.6190490722656,22.6415100097656,33.4905662536621,38.2075462341309,44.3396224975586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
