"","Country.Name","NY.GDP.PCAP.CD.YR2013","NY.GDP.PCAP.CD.YR2014","NY.GDP.PCAP.CD.YR2015","NY.GDP.PCAP.CD.YR2016","NY.GDP.PCAP.CD.YR2017","NY.GDP.PCAP.CD.YR2018","NY.GDP.PCAP.CD.YR2019","NY.GDP.PCAP.CD.YR2020","NY.GDP.PCAP.CD.YR2021","NY.GDP.PCAP.CD.YR2022","IT.NET.USER.ZS.YR2013","IT.NET.USER.ZS.YR2014","IT.NET.USER.ZS.YR2015","IT.NET.USER.ZS.YR2016","IT.NET.USER.ZS.YR2017","IT.NET.USER.ZS.YR2018","IT.NET.USER.ZS.YR2019","IT.NET.USER.ZS.YR2020","IT.NET.USER.ZS.YR2021","IT.NET.USER.ZS.YR2022","IT.CEL.SETS.P2.YR2013","IT.CEL.SETS.P2.YR2014","IT.CEL.SETS.P2.YR2015","IT.CEL.SETS.P2.YR2016","IT.CEL.SETS.P2.YR2017","IT.CEL.SETS.P2.YR2018","IT.CEL.SETS.P2.YR2019","IT.CEL.SETS.P2.YR2020","IT.CEL.SETS.P2.YR2021","IT.CEL.SETS.P2.YR2022","SL.TLF.ADVN.ZS.YR2013","SL.TLF.ADVN.ZS.YR2014","SL.TLF.ADVN.ZS.YR2015","SL.TLF.ADVN.ZS.YR2016","SL.TLF.ADVN.ZS.YR2017","SL.TLF.ADVN.ZS.YR2018","SL.TLF.ADVN.ZS.YR2019","SL.TLF.ADVN.ZS.YR2020","SL.TLF.ADVN.ZS.YR2021","SL.TLF.ADVN.ZS.YR2022","PV.PER.RNK.YR2013","PV.PER.RNK.YR2014","PV.PER.RNK.YR2015","PV.PER.RNK.YR2016","PV.PER.RNK.YR2017","PV.PER.RNK.YR2018","PV.PER.RNK.YR2019","PV.PER.RNK.YR2020","PV.PER.RNK.YR2021","PV.PER.RNK.YR2022"
"29","Botswana",6436.60306321162,6844.03299550537,5869.73777207249,6411.55166554553,6705.34106167973,6947.81784114167,6691.16105117407,5875.07060571282,7238.79609591086,7737.65468112589,30,36.74474744,37.31205037,39.36299738,41.41379464,58,64.82632542,72.74801998,73.5,73.5,146.4312098,150.8822868,150.7621557,139.8131113,134.9211022,137.9300386,149.8882667,150.3850531,160.7369816,165.3049695,77.12,77.12,77.12,77.12,77.12,77.12,77.12,78.97,80.2,78.93,88.1516571044922,84.2857131958008,87.6190490722656,83.3333358764648,86.1904754638672,82.5471725463867,90.5660400390625,85.8490600585938,84.9056625366211,84.9056625366211
"30","Brazil",12258.5648491717,12071.4046547485,8783.21441310718,8680.73542054827,9896.7175109967,9121.02009249958,8845.3239312417,6923.70019715065,7696.78553127562,8917.67389796927,51.04,54.55100188,58.32795173,60.87254007,67.47128452,70.43428254,73.91243991,81.34269353,80.68989314,80.52775094,134.3929329,137.9776265,125.6477067,117.9869738,106.1217992,99.64002652,95.38505233,96.54706819,102.48887,98.89102076,81.48,82.88,82.97,83.2,83.18,82.9,83.15,79.4,80.53,81.87,36.9668235778809,42.8571434020996,34.2857131958008,31.9047622680664,29.5238094329834,30.1886787414551,21.2264156341553,31.1320762634277,28.7735843658447,28.7735843658447
"32","Brunei Darussalam",43950.0570624107,41035.7731365374,30681.4374376753,26762.0374289176,28186.9833864683,31241.0239732766,30748.3201899098,27179.3444218249,31448.9136078023,37152.4662378669,64.5,68.77,71.2,90,94.86669164,95,95,96.06912594,98.08,98.08,113.8721697,108.4957375,109.9533264,122.8780218,126.6006005,130.3207192,131.2182683,121.4758051,135.501254,117.7551548,85.58,85.58,85.58,85.58,81.91,84.12,81.12,83.17,81.38,81.38,87.2037887573242,94.7619018554688,93.8095245361328,91.4285736083984,90,92.9245300292969,89.6226425170898,92.4528274536133,92.9245300292969,92.9245300292969
"33","Bulgaria",7686.62922249699,7912.52053999441,7081.10233572915,7574.19126408348,8386.58920224077,9451.850869564,9878.76887237072,10153.4766003869,12222.235645941,13772.476794451,53.0615,55.49,56.65625161,59.82554766,63.41010138,64.78201069,67.94698094,70.16248359,75.27144583,79.12686326,141.1194769,128.6861675,125.7944108,123.8462766,118.8025553,117.8397093,115.3427025,113.849275,114.7677533,117.4346239,73.58,73.74,74.44,73.94,74.7,74.5,75.97,75.32,76.31,76.99,53.0805702209473,49.523811340332,46.6666679382324,49.0476188659668,59.0476188659668,61.7924537658691,66.0377349853516,58.0188674926758,58.9622650146484,58.9622650146484
"34","Burkina Faso",762.303780331201,767.371344245295,632.126685840944,665.786328528158,711.184543938412,779.202768060739,772.166877547544,833.244336106076,893.077195986297,832.884265674075,5,6,6.55,7.14,7.79,8.5,9.27180601,13.93797176,21.57982734,21.57982734,63.73682215,68.76444495,77.18176266,79.91513371,90.47440751,94.83338248,97.19768463,102.7626369,111.6631328,111.6631328,58.22,58.22,58.22,58.22,58.22,71.11,71.11,71.11,71.11,71.11,21.8009471893311,20,25.238094329834,16.6666660308838,15.7142858505249,13.2075471878052,11.7924528121948,8.96226406097412,7.07547187805176,7.07547187805176
"35","Burundi",241.547665658082,257.818557465694,289.359627144769,242.539527360495,244.145422138192,232.060616581243,216.972970864849,216.827417445762,221.15780340632,238.44187565548,1.264218111,1.4,2,2.2,2.660748535,2.7,2.731443388,3.787954422,5.804921577,5.804921577,24.99444805,30.42671535,46.58923322,49.13927197,53.073037,54.97002994,55.00739463,54.26373457,61.67128229,57.96130144,76.08,76.08,76.08,76.08,76.08,76.08,76.08,59.16,59.16,59.16,8.53080558776855,20.4761905670166,5.7142858505249,5.7142858505249,4.2857141494751,7.54716968536377,7.07547187805176,9.43396186828613,10.3773584365845,10.3773584365845
"36","Cabo Verde",3757.65995326233,3739.27827890219,3169.0789154116,3312.69675666873,3534.34358304479,3860.45481136132,3928.30909558631,3223.73560213047,3557.83777540965,3902.58904940059,37.5,40.26,42.68301416,50.32281787,57.16214635,59.5,61.94339776,63.16119125,69.76225648,69.76225648,92.50250028,112.3246581,110.7398862,107.8013016,108.3732481,106.8497659,103.232241,93.49323768,100.3820215,99.2317289,74.36,74.36,74.36,74.36,70.21,70.61,69.77,69.77,69.77,69.77,69.6682434082031,58.5714302062988,74.2857131958008,76.1904754638672,72.3809509277344,74.5283050537109,76.8867950439453,75.9433975219727,77.8301849365234,77.8301849365234
"37","Cambodia",1015.2208813493,1098.07453750857,1170.74281578324,1281.10597109735,1400.89926526097,1533.31598456036,1671.38540009767,1577.91173993243,1625.2350215138,1786.56081858524,6,14,18,32.39845171,32.90027854,32.90027854,52.30587822,53.65076745,60.1524023,60.1524023,135.0996151,134.4568277,135.2392534,127.4626128,117.3225889,121.1658947,132.1508925,128.6026166,119.9575768,116.3256071,80.58,63.07,75.95,79.66,79.19,79.19,73.02,82.08,78.52,78.52,41.7061614990234,46.1904754638672,49.523811340332,53.8095245361328,50.476188659668,52.3584899902344,44.3396224975586,40.5660362243652,43.8679237365723,43.8679237365723
"38","Cameroon",1559.13904964956,1631.71398553289,1399.67533596847,1426.06548098045,1479.86222292155,1594.06010909489,1538.68791202148,1539.13054650019,1666.93280948232,1588.47872338696,10,16.21487223,18.3,20.6,23.20297197,29.7,36.5391824,45.52922268,45.60217394,45.60217394,72.41147607,76.4097583,78.91603165,78.93806963,82.54515063,73.59740879,83.00540281,84.36916915,79.9676844,82.77764316,77.36,77.36,77.36,77.36,77.36,77.36,77.36,77.36,77.36,77.36,27.488151550293,12.380952835083,15.2380952835083,13.3333330154419,12.380952835083,8.49056625366211,8.01886749267578,10.3773584365845,9.90566062927246,9.90566062927246
"39","Canada",52635.1749580433,50955.9983232404,43596.1355365546,42315.6037056806,45129.4292980922,46547.7951820036,46374.1527517191,43349.677855557,52358.6216405155,54966.4888361088,85.8,87.12,90,91.16,92.70137191,94.64,91.91289669,92.3,92.83401664,92.83401664,80.8813881,81.31427412,83.30038912,85.15367591,86.70104032,89.67401709,91.59004081,85.40841921,88.09065504,91.23062536,76.5,75.99,75.93,75.47,75.19,74.88,74.92,73.02,74.03,73.45,86.7298583984375,92.8571395874023,95.2380981445313,93.8095245361328,88.0952377319336,83.9622650146484,83.0188674926758,86.7924499511719,80.1886825561523,80.1886825561523
